"X","Y","Species","DBH_cm","ba_m2","grp_id","grp_size","grp_nm","tree_id","weight"
62.2,0.3,"PSME",12.7,0.0126676869774374,"a0182",1,"single",1,58.3560588423466
79.8,3.5,"PSME",38.608,0.117069695970686,"a0145",1,"single",7,345.687509145987
58.5,5.2,"PSME",20.828,0.0340710108945157,"a0169",1,"single",14,128.776349701634
184.8,8,"PIEN",40.894,0.131343645656862,"a0193",1,"single",32,379.014083807285
67.4,10.3,"PIEN",11.684,0.0107219302577031,"b0132",3,"2-4 trees",41,51.0677210307142
70.4,10.5,"PIEN",47.244,0.17530051946857,"b0132",3,"2-4 trees",42,477.479419658041
109,10.7,"PSME",11.684,0.0107219302577031,"c0039",8,"5-9 trees",45,51.0677210307142
120.3,11.2,"POTR",8.89,0.00620716661894435,"a0171",1,"single",47,32.9794051157481
111.7,11.3,"POTR",11.684,0.0107219302577031,"c0039",8,"5-9 trees",51,51.0677210307142
50.6,11.5,"PSME",11.176,0.00980985679532756,"d0020",11,"10-15 trees",54,47.5617941542204
105.8,12.4,"PIEN",13.462,0.0142334130878487,"c0039",8,"5-9 trees",70,64.0582895158179
69.2,12.8,"POTR",21.082,0.0349070782350266,"b0132",3,"2-4 trees",75,131.298236918595
7.5,13.1,"PSME",30.48,0.0729658769900397,"a0186",1,"single",78,236.823033779947
30.2,13.1,"PIEN",20.828,0.0340710108945157,"b0118",3,"2-4 trees",79,128.776349701634
108.1,13.5,"PIPO",24.384,0.0466981612736254,"c0039",8,"5-9 trees",81,165.717326957557
30.2,13.8,"POTR",24.892,0.0486641862925237,"b0118",3,"2-4 trees",85,171.275667090396
52.4,13.9,"POTR",15.494,0.0188545852972179,"d0020",11,"10-15 trees",88,80.2161257237514
51.2,14,"PIPO",40.386,0.128100717790638,"d0020",11,"10-15 trees",91,371.509005363059
57.2,14,"PIEN",10.16,0.00810731966555996,"d0020",11,"10-15 trees",92,40.8347529747354
76.2,14.4,"PIEN",3.302,0.000856335639674771,"c0027",7,"5-9 trees",100,6.76150401542223
175.7,14.6,"PIEN",16.002,0.0201112198453797,"b0094",2,"2-4 trees",106,84.4653966240764
56.3,14.8,"PIPU",6.858,0.00369389752262076,"d0020",11,"10-15 trees",108,21.7728845249142
56.3,15,"PIPO",14.986,0.0176384873473839,"d0020",11,"10-15 trees",112,76.0496404670287
109.7,15.1,"POTR",16.51,0.0214083909918693,"c0039",8,"5-9 trees",116,88.7963914804711
53,15.2,"PIEN",20.574,0.0332450777035868,"d0020",11,"10-15 trees",117,126.27284828981
138.8,15.2,"PIEN",8.382,0.00551804444737175,"b0129",4,"2-4 trees",119,30.0162373188641
125.8,15.6,"PIPU",12.954,0.0131794615313259,"c0071",7,"5-9 trees",126,60.2346274174601
136.7,15.9,"POTR",26.67,0.0558644995704991,"b0129",4,"2-4 trees",130,191.265581466885
108.6,16,"PIEN",16.256,0.0207547383438335,"c0039",8,"5-9 trees",132,86.6207430682866
27.2,16.1,"POTR",7.366,0.00426140989920996,"b0118",3,"2-4 trees",133,24.4101665849469
175.4,16.6,"POTR",18.796,0.027747301555379,"b0094",2,"2-4 trees",144,109.270944796459
137.8,16.7,"PIEN",9.144,0.00656692892910357,"b0129",4,"2-4 trees",145,34.4999088632196
114,17.3,"PIEN",5.08,0.00202682991638999,"c0039",8,"5-9 trees",155,13.4704448961551
198,17.3,"PIPO",30.226,0.0717548461149966,"e0005",21,"16-25 trees",156,233.673296227583
54,17.4,"PIEN",2.54,0.000506707479097498,"d0020",11,"10-15 trees",157,4.44358965052675
43.5,17.5,"PIEN",40.894,0.131343645656862,"b0108",2,"2-4 trees",161,379.014083807285
36.8,17.6,"PIPO",19.558,0.0300426864356906,"b0127",3,"2-4 trees",162,116.444533906343
124.7,17.8,"PSME",20.828,0.0340710108945157,"c0071",7,"5-9 trees",168,128.776349701634
122.1,17.9,"POTR",26.924,0.0569336523513948,"c0071",7,"5-9 trees",170,194.188421282889
195.2,18.1,"PIEN",4.064,0.00129717114648959,"e0005",21,"16-25 trees",178,9.42596708390322
35,18.2,"PIPU",22.098,0.0383526890928896,"b0127",3,"2-4 trees",180,141.567887267438
