"X","Y","Species","DBH_cm","ba_m2","grp_id","grp_size","grp_nm","tree_id","weight"
62.2,0.3,"PSME",12.7,0.0126676869774374,"a0318",1,"single",1,58.3560588423466
192.6,2.3,"PIEN",19.05,0.0285022956992343,"c0031",9,"5-9 trees",3,111.643120811234
189.3,3.8,"PSME",19.812,0.0308280830282918,"c0031",9,"5-9 trees",8,118.873571451574
161.6,5.1,"PSME",60.96,0.291863507960159,"a0134",1,"single",12,717.913191263035
195,5.1,"PIEN",18.796,0.027747301555379,"c0031",9,"5-9 trees",13,109.270944796459
197.1,6.3,"PIEN",10.922,0.00936902128851274,"c0031",9,"5-9 trees",18,45.8441025684311
8,6.9,"PSME",44.45,0.155179165473609,"a0245",1,"single",24,433.106622546041
113.3,8,"PSME",25.4,0.0506707479097498,"a0154",1,"single",31,176.902490287201
197,8.4,"PSME",9.398,0.00693682538884474,"c0031",9,"5-9 trees",34,36.045969019139
189.9,8.6,"PIPU",5.842,0.00268048256442576,"c0031",9,"5-9 trees",35,16.8460654712927
25.3,9.6,"POTR",11.938,0.0111931682132637,"a0207",1,"single",39,52.8555406234571
130.8,10.9,"PIFL2",22.86,0.0410433058068973,"a0289",1,"single",46,149.458961986645
193.7,11.2,"PIEN",2.286,0.000410433058068973,"c0031",9,"5-9 trees",49,3.75423938681759
196.1,11.6,"PIEN",1.27,0.000126676869774374,"c0031",9,"5-9 trees",57,1.46583792402465
192.8,11.8,"PIPO",27.686,0.0602019155915737,"c0031",9,"5-9 trees",60,203.056241506231
18.5,12.1,"PSME",25.654,0.0516892299427357,"a0148",1,"single",64,179.741410169007
94.7,12.2,"PIEN",33.274,0.0869560704879216,"a0319",1,"single",66,272.500949358077
102.7,12.2,"PIPU",25.654,0.0516892299427357,"a0203",1,"single",67,179.741410169007
69.2,12.8,"POTR",21.082,0.0349070782350266,"a0197",1,"single",75,131.298236918595
7.5,13.1,"PSME",30.48,0.0729658769900397,"d0007",10,"10-15 trees",78,236.823033779947
163.3,13.5,"PIEN",11.684,0.0107219302577031,"c0023",7,"5-9 trees",83,51.0677210307142
119.3,13.8,"PIPU",2.286,0.000410433058068973,"c0029",5,"5-9 trees",87,3.75423938681759
163.8,14.1,"PIEN",8.382,0.00551804444737175,"c0023",7,"5-9 trees",94,30.0162373188641
182.8,14.8,"PSME",20.32,0.0324292786622399,"b0125",4,"2-4 trees",109,123.787823146332
173,14.9,"PSME",3.556,0.000993146659031096,"b0071",2,"2-4 trees",110,7.61270154517849
59.8,15.2,"PIPO",43.18,0.146438461459177,"a0271",1,"single",118,413.477822801311
138.8,15.2,"PIEN",8.382,0.00551804444737175,"a0255",1,"single",119,30.0162373188641
119.2,15.3,"PIEN",16.764,0.022072177789487,"c0029",5,"5-9 trees",121,90.9922163370198
26.3,15.7,"POTR",14.732,0.0170456395968398,"a0303",1,"single",127,73.9977877681652
163.6,15.8,"POTR",26.416,0.0548054809391854,"c0023",7,"5-9 trees",129,188.359396139355
108.6,16,"PIEN",16.256,0.0207547383438335,"a0307",1,"single",132,86.6207430682866
164,16.1,"POTR",10.668,0.00893831993127986,"c0023",7,"5-9 trees",134,44.15021382169
118.1,16.2,"PIPO",39.37,0.121736471853174,"c0029",5,"5-9 trees",137,356.668424731358
88.4,16.3,"POTR",14.732,0.0170456395968398,"c0020",9,"5-9 trees",139,73.9977877681652
172.8,16.3,"PIEN",22.606,0.0401362994193128,"b0071",2,"2-4 trees",140,146.810783773453
180.3,16.4,"PIPO",32.766,0.0843211915966146,"b0125",4,"2-4 trees",141,265.874987853903
163.5,17.2,"PIEN",13.97,0.0153279012426993,"c0023",7,"5-9 trees",154,67.9695273295393
43.5,17.5,"PIEN",40.894,0.131343645656862,"b0074",2,"2-4 trees",161,379.014083807285
6.2,18,"POTR",12.7,0.0126676869774374,"d0007",10,"10-15 trees",172,58.3560588423466
115.2,18,"PIEN",27.178,0.0580129392818725,"c0029",5,"5-9 trees",174,197.127852560154
148.9,18,"PIEN",3.048,0.000729658769900397,"b0073",4,"2-4 trees",175,5.94872565220784
99.4,18.1,"PSME",33.528,0.088288711157948,"a0234",1,"single",177,275.836819451038
16.1,18.2,"PIEN",24.384,0.0466981612736254,"d0007",10,"10-15 trees",179,165.717326957557
43.7,18.3,"PSME",33.528,0.088288711157948,"b0074",2,"2-4 trees",183,275.836819451038
52.6,18.4,"PIPO",43.688,0.149904340616204,"a0169",1,"single",185,421.288361653377
9.7,18.8,"PIEN",12.954,0.0131794615313259,"d0007",10,"10-15 trees",194,60.2346274174601
162.5,19,"PIEN",13.97,0.0153279012426993,"c0023",7,"5-9 trees",203,67.9695273295393
12,19.1,"PIEN",1.778,0.000248286664757774,"d0007",10,"10-15 trees",205,2.51125497780401
89,19.1,"PSME",9.144,0.00656692892910357,"c0020",9,"5-9 trees",206,34.4999088632196
150.2,19.1,"PIPO",21.844,0.0374760851540509,"b0073",4,"2-4 trees",207,138.973331479546
180.3,19.2,"PIEN",38.354,0.11553437230902,"b0125",4,"2-4 trees",210,342.05588144814
179.1,19.4,"PIEN",7.874,0.00486945887412695,"b0125",4,"2-4 trees",213,27.1589300622175
149.3,19.5,"POTR",11.43,0.0102608264517243,"b0073",4,"2-4 trees",215,49.3030706693208
85.7,20.1,"PIPU",6.35,0.00316692174435936,"c0020",9,"5-9 trees",225,19.2503203210012
117.6,20.3,"PIPO",40.132,0.126494455081899,"c0029",5,"5-9 trees",230,367.777609580717
89.5,20.5,"PIEN",2.032,0.000324292786622399,"c0020",9,"5-9 trees",234,3.1094095334738
2.2,20.6,"PIEN",1.524,0.000182414692475099,"d0007",10,"10-15 trees",235,1.96234763927647
93.4,20.6,"PIFL2",21.59,0.0366096153647942,"c0020",9,"5-9 trees",237,136.396814528871
149.3,20.6,"PIPU",2.794,0.000613116049707972,"b0073",4,"2-4 trees",238,5.17561833654136
89.6,20.8,"PIEN",7.62,0.00456036731187748,"c0020",9,"5-9 trees",243,25.7708031823288
165,21,"PIEN",3.302,0.000856335639674771,"c0023",7,"5-9 trees",248,6.76150401542223
16.1,21.3,"PIEN",21.844,0.0374760851540509,"d0007",10,"10-15 trees",258,138.973331479546
125.2,21.4,"PIEN",4.572,0.00164173223227589,"b0086",2,"2-4 trees",264,11.3807256664905
126.4,21.5,"PIEN",39.624,0.123312332113167,"b0086",2,"2-4 trees",268,360.357283138818
69.2,21.7,"PIPO",34.544,0.0937206153338732,"c0026",9,"5-9 trees",274,289.331820715259
15.8,21.9,"PIEN",2.032,0.000324292786622399,"d0007",10,"10-15 trees",280,3.1094095334738
73.3,22,"PIEN",10.922,0.00936902128851274,"c0026",9,"5-9 trees",286,45.8441025684311
196.7,22.1,"PSME",33.782,0.0896314859775564,"b0090",4,"2-4 trees",288,279.18788720561
35.7,22.8,"PIPO",49.022,0.188743468889027,"a0167",1,"single",298,506.55387390982
92.9,22.9,"PIEN",2.54,0.000506707479097498,"c0020",9,"5-9 trees",302,4.44358965052675
